id;first_name;last_name;nickname;height;year_of_birth;preferred_position;favourite_club_id
1;Freddy;Stoltenberg-Schuppe;who democratize alb;233;1968;DEF;1
2;Annetta;Towne;unethically powerful;215;1961;FW;2
3;Webster;Steuber;through;172;2030;DEF;3
4;Elinore;Lang-Olson;briefly;116;1977;FW;4
5;Domenico;Parker;about;153;2010;MID;5
6;Forest;Lemke;homely;129;1939;MID;6
7;Aniyah;Bartell;cram unwelcome affectionate;250;2010;DEF;7
8;Arvel;Schumm;next;204;2017;FW;8
9;Eduardo;O'Conner;how;244;1969;DEF;9
10;Landen;Bashirian;whether consequently alongside;156;1930;FW;10
